State,Under 5 Years,5 to 13 Years,14 to 17 Years,18 to 24 Years,25 to 44 Years,45 to 64 Years,65 Years and Over
173,0.74213,0.21184,0.03924,0.00587,0.0008,0.081,0.058
174,0.05371,0.39537,0.34381,0.14636,0.0452,0.229,0.103
175,0.00002,0.0173,0.1372,0.26188,0.25474,0.451,0.156
176,0.9553,0.04073,0.00358,0.00035,0.00004,0.055,0.024
177,0.4174,0.40134,0.14031,0.03304,0.0065,0.131,0.086
178,0,0,0.00002,0.00071,0.00697,0.937,0.255
179,0,0.01254,0.15578,0.3185,0.27618,0.42,0.13
180,0,0,0,0,0.00001,1.433,0.188
181,0.00051,0.13317,0.40242,0.30187,0.11915,0.305,0.104
182,0,0.00016,0.01863,0.13639,0.27394,0.541,0.144
183,0.97779,0.0212,0.00096,0.00005,0,0.052,0.016
184,0.86703,0.1132,0.01697,0.00241,0.00034,0.066,0.043
185,0,0,0,0,0,1.467,0.135
186,0,0,0.00026,0.0071,0.04348,0.772,0.18
187,0.98443,0.01506,0.00049,0.00002,0,0.052,0.0
